x,y,vx,vy,paddle.y
1325,325,-15,-1,5
1310,324,-15,-1,5
1295,323,-15,-1,5
1280,322,-15,-1,5
1265,321,-15,-1,5
1250,320,-15,-1,5
1235,319,-15,-1,5
1220,318,-15,-1,5
1205,317,-15,-1,5
1190,316,-15,-1,5
1175,315,-15,-1,5
1160,314,-15,-1,5
1145,313,-15,-1,5
1130,312,-15,-1,5
1115,311,-15,-1,5
1100,310,-15,-1,5
1085,309,-15,-1,5
1070,308,-15,-1,5
1055,307,-15,-1,5
1040,306,-15,-1,5
1025,305,-15,-1,5
1010,304,-15,-1,5
995,303,-15,-1,5
980,302,-15,-1,5
965,301,-15,-1,5
950,300,-15,-1,5
935,299,-15,-1,5
920,298,-15,-1,5
905,297,-15,-1,5
890,296,-15,-1,5
875,295,-15,-1,5
860,294,-15,-1,5
845,293,-15,-1,5
830,292,-15,-1,17
815,291,-15,-1,33
800,290,-15,-1,43
785,289,-15,-1,53
770,288,-15,-1,65
755,287,-15,-1,77
740,286,-15,-1,97
725,285,-15,-1,126
710,284,-15,-1,138
695,283,-15,-1,150
680,282,-15,-1,164
665,281,-15,-1,172
650,280,-15,-1,177
635,279,-15,-1,177
620,278,-15,-1,177
605,277,-15,-1,177
590,276,-15,-1,177
575,275,-15,-1,177
560,274,-15,-1,177
545,273,-15,-1,177
530,272,-15,-1,177
515,271,-15,-1,177
500,270,-15,-1,177
485,269,-15,-1,177
470,268,-15,-1,177
455,267,-15,-1,177
440,266,-15,-1,177
425,265,-15,-1,177
410,264,-15,-1,177
395,263,-15,-1,177
380,262,-15,-1,178
365,261,-15,-1,179
350,260,-15,-1,179
335,259,-15,-1,179
320,258,-15,-1,179
305,257,-15,-1,178
290,256,-15,-1,178
275,255,-15,-1,177
260,254,-15,-1,176
245,253,-15,-1,175
230,252,-15,-1,175
215,251,-15,-1,174
200,250,-15,-1,174
185,249,-15,-1,174
170,248,-15,-1,175
155,247,-15,-1,176
140,246,-15,-1,177
125,245,-15,-1,177
110,244,-15,-1,180
95,243,-15,-1,181
80,242,-15,-1,183
65,241,-15,-1,186
50,240,-15,-1,188
50,240,15,-2.6831946070117896,191
65,237.31680539298821,15,-2.6831946070117896,192
80,234.63361078597643,15,-2.6831946070117896,194
95,231.95041617896464,15,-2.6831946070117896,195
110,229.26722157195286,15,-2.6831946070117896,195
125,226.58402696494107,15,-2.6831946070117896,195
140,223.9008323579293,15,-2.6831946070117896,195
155,221.2176377509175,15,-2.6831946070117896,195
170,218.53444314390572,15,-2.6831946070117896,195
185,215.85124853689393,15,-2.6831946070117896,195
200,213.16805392988215,15,-2.6831946070117896,195
215,210.48485932287036,15,-2.6831946070117896,195
230,207.80166471585858,15,-2.6831946070117896,195
245,205.1184701088468,15,-2.6831946070117896,195
260,202.435275501835,15,-2.6831946070117896,195
275,199.75208089482322,15,-2.6831946070117896,195
290,197.06888628781144,15,-2.6831946070117896,195
305,194.38569168079965,15,-2.6831946070117896,195
320,191.70249707378787,15,-2.6831946070117896,195
335,189.01930246677608,15,-2.6831946070117896,195
350,186.3361078597643,15,-2.6831946070117896,195
365,183.6529132527525,15,-2.6831946070117896,195
380,180.96971864574073,15,-2.6831946070117896,195
395,178.28652403872894,15,-2.6831946070117896,195
410,175.60332943171716,15,-2.6831946070117896,195
425,172.92013482470537,15,-2.6831946070117896,195
440,170.2369402176936,15,-2.6831946070117896,195
455,167.5537456106818,15,-2.6831946070117896,195
470,164.87055100367002,15,-2.6831946070117896,195
485,162.18735639665823,15,-2.6831946070117896,195
500,159.50416178964645,15,-2.6831946070117896,195
515,156.82096718263466,15,-2.6831946070117896,195
530,154.13777257562288,15,-2.6831946070117896,195
545,151.4545779686111,15,-2.6831946070117896,195
560,148.7713833615993,15,-2.6831946070117896,195
575,146.08818875458752,15,-2.6831946070117896,195
590,143.40499414757574,15,-2.6831946070117896,195
605,140.72179954056395,15,-2.6831946070117896,195
620,138.03860493355216,15,-2.6831946070117896,195
635,135.35541032654038,15,-2.6831946070117896,195
650,132.6722157195286,15,-2.6831946070117896,195
665,129.9890211125168,15,-2.6831946070117896,195
680,127.30582650550502,15,-2.6831946070117896,195
695,124.62263189849324,15,-2.6831946070117896,195
710,121.93943729148145,15,-2.6831946070117896,195
725,119.25624268446967,15,-2.6831946070117896,196
740,116.57304807745788,15,-2.6831946070117896,204
755,113.8898534704461,15,-2.6831946070117896,213
770,111.20665886343431,15,-2.6831946070117896,226
785,108.52346425642253,15,-2.6831946070117896,231
800,105.84026964941074,15,-2.6831946070117896,236
815,103.15707504239896,15,-2.6831946070117896,239
830,100.47388043538717,15,-2.6831946070117896,240
845,97.79068582837539,15,-2.6831946070117896,243
860,95.1074912213636,15,-2.6831946070117896,244
875,92.42429661435182,15,-2.6831946070117896,244
890,89.74110200734003,15,-2.6831946070117896,244
905,87.05790740032825,15,-2.6831946070117896,244
920,84.37471279331646,15,-2.6831946070117896,244
935,81.69151818630468,15,-2.6831946070117896,244
950,79.00832357929289,15,-2.6831946070117896,244
965,76.3251289722811,15,-2.6831946070117896,244
980,73.64193436526932,15,-2.6831946070117896,244
995,70.95873975825754,15,-2.6831946070117896,244
1010,68.27554515124575,15,-2.6831946070117896,244
1025,65.59235054423397,15,-2.6831946070117896,244
1040,62.909155937222174,15,-2.6831946070117896,244
1055,60.22596133021038,15,-2.6831946070117896,244
1070,57.54276672319859,15,-2.6831946070117896,244
1085,54.8595721161868,15,-2.6831946070117896,244
1100,52.176377509175005,15,-2.6831946070117896,244
1115,49.49318290216321,15,-2.6831946070117896,244
1130,46.80998829515142,15,-2.6831946070117896,244
1145,44.12679368813963,15,-2.6831946070117896,244
1160,41.443599081127836,15,-2.6831946070117896,244
1175,38.760404474116044,15,-2.6831946070117896,244
1190,36.07720986710425,15,-2.6831946070117896,244
1205,33.39401526009246,15,-2.6831946070117896,244
1220,30.71082065308067,15,-2.6831946070117896,244
1235,28.02762604606888,15,-2.6831946070117896,244
1250,25.344431439057093,15,-2.6831946070117896,244
1265,22.661236832045304,15,-2.6831946070117896,244
1280,19.978042225033516,15,-2.6831946070117896,244
1295,17.294847618021727,15,-2.6831946070117896,244
1295,17.294847618021727,15,2.6831946070117896,244
1310,19.978042225033516,15,2.6831946070117896,244
1325,22.661236832045304,15,2.6831946070117896,244
1325,22.661236832045304,-15,2.6831946070117896,244
1310,25.344431439057093,-15,2.6831946070117896,244
1295,28.02762604606888,-15,2.6831946070117896,244
1280,30.71082065308067,-15,2.6831946070117896,244
